所加载Model可训练参数：29.107 百万
Generating train split: 1413103 examples [00:05, 254029.49 examples/s]
Epoch:[1/1](6800/44160) loss:2.491127 lr:0.000474181810 epoch_Time:213.0min:
Epoch:[1/1](6900/44160) loss:2.858370 lr:0.000473432284 epoch_Time:212.0min:
Epoch:[1/1](7000/44160) loss:2.660552 lr:0.000472672716 epoch_Time:212.0min:
Epoch:[1/1](7100/44160) loss:2.677467 lr:0.000471903144 epoch_Time:211.0min:
Epoch:[1/1](7200/44160) loss:2.444620 lr:0.000471123606 epoch_Time:211.0min:
Epoch:[1/1](7300/44160) loss:2.547951 lr:0.000470334142 epoch_Time:210.0min:
Epoch:[1/1](7400/44160) loss:2.671015 lr:0.000469534792 epoch_Time:209.0min:
Epoch:[1/1](7500/44160) loss:2.633712 lr:0.000468725597 epoch_Time:209.0min:
Epoch:[1/1](7600/44160) loss:2.566432 lr:0.000467906597 epoch_Time:208.0min:
Epoch:[1/1](7700/44160) loss:2.705889 lr:0.000467077834 epoch_Time:208.0min:
Epoch:[1/1](7800/44160) loss:2.505123 lr:0.000466239350 epoch_Time:207.0min:
Epoch:[1/1](7900/44160) loss:2.671171 lr:0.000465391188 epoch_Time:206.0min:
Epoch:[1/1](8000/44160) loss:2.477525 lr:0.000464533389 epoch_Time:206.0min:
Epoch:[1/1](8100/44160) loss:2.721544 lr:0.000463665999 epoch_Time:205.0min:
Epoch:[1/1](8200/44160) loss:2.620060 lr:0.000462789059 epoch_Time:205.0min:
Epoch:[1/1](8300/44160) loss:2.724852 lr:0.000461902616 epoch_Time:204.0min:
Epoch:[1/1](8400/44160) loss:2.736933 lr:0.000461006713 epoch_Time:204.0min:
Epoch:[1/1](8500/44160) loss:2.631668 lr:0.000460101397 epoch_Time:203.0min:
Epoch:[1/1](8600/44160) loss:2.455535 lr:0.000459186712 epoch_Time:202.0min:
Epoch:[1/1](8700/44160) loss:2.722454 lr:0.000458262706 epoch_Time:202.0min:
Epoch:[1/1](8800/44160) loss:2.612932 lr:0.000457329425 epoch_Time:201.0min:
Epoch:[1/1](8900/44160) loss:2.731842 lr:0.000456386916 epoch_Time:201.0min:
Epoch:[1/1](9000/44160) loss:2.669131 lr:0.000455435227 epoch_Time:200.0min:
Epoch:[1/1](9100/44160) loss:2.738007 lr:0.000454474406 epoch_Time:200.0min:
Epoch:[1/1](9200/44160) loss:2.608484 lr:0.000453504502 epoch_Time:199.0min:
Epoch:[1/1](9300/44160) loss:2.273338 lr:0.000452525563 epoch_Time:198.0min:
Epoch:[1/1](9400/44160) loss:2.630248 lr:0.000451537640 epoch_Time:198.0min:
Epoch:[1/1](9500/44160) loss:2.442901 lr:0.000450540782 epoch_Time:197.0min:
Epoch:[1/1](9600/44160) loss:2.611830 lr:0.000449535040 epoch_Time:197.0min:
Epoch:[1/1](9700/44160) loss:2.533054 lr:0.000448520465 epoch_Time:197.0min:
Epoch:[1/1](9800/44160) loss:2.477014 lr:0.000447497108 epoch_Time:196.0min:
Epoch:[1/1](9900/44160) loss:2.533738 lr:0.000446465021 epoch_Time:196.0min:
Epoch:[1/1](10000/44160) loss:2.467512 lr:0.000445424256 epoch_Time:195.0min:
Epoch:[1/1](10100/44160) loss:2.571308 lr:0.000444374865 epoch_Time:195.0min:
Epoch:[1/1](10200/44160) loss:2.633478 lr:0.000443316903 epoch_Time:194.0min:
